timestamp;buyer;seller;symbol;currency;price;quantity
346700;;;ASH_COATED_OSMIUM;XIRECS;9979;3
548400;;;ASH_COATED_OSMIUM;XIRECS;9979;9
302000;;;ASH_COATED_OSMIUM;XIRECS;9981;6
988000;;;ASH_COATED_OSMIUM;XIRECS;9981;4
300900;;;ASH_COATED_OSMIUM;XIRECS;9982;10
330800;;;ASH_COATED_OSMIUM;XIRECS;9982;6
515800;;;ASH_COATED_OSMIUM;XIRECS;9982;6
547500;;;ASH_COATED_OSMIUM;XIRECS;9982;8
281200;;;ASH_COATED_OSMIUM;XIRECS;9983;3
281300;;;ASH_COATED_OSMIUM;XIRECS;9983;4
333400;;;ASH_COATED_OSMIUM;XIRECS;9983;10
503300;;;ASH_COATED_OSMIUM;XIRECS;9983;3
566200;;;ASH_COATED_OSMIUM;XIRECS;9983;10
606100;;;ASH_COATED_OSMIUM;XIRECS;9983;4
609300;;;ASH_COATED_OSMIUM;XIRECS;9983;6
992000;;;ASH_COATED_OSMIUM;XIRECS;9983;4
506600;;;ASH_COATED_OSMIUM;XIRECS;9984;7
515100;;;ASH_COATED_OSMIUM;XIRECS;9984;6
543700;;;ASH_COATED_OSMIUM;XIRECS;9984;6
543700;;;ASH_COATED_OSMIUM;XIRECS;9984;6
543900;;;ASH_COATED_OSMIUM;XIRECS;9984;2
551300;;;ASH_COATED_OSMIUM;XIRECS;9984;5
556700;;;ASH_COATED_OSMIUM;XIRECS;9984;6
671900;;;ASH_COATED_OSMIUM;XIRECS;9984;3
206500;;;ASH_COATED_OSMIUM;XIRECS;9985;3
274300;;;ASH_COATED_OSMIUM;XIRECS;9985;5
306100;;;ASH_COATED_OSMIUM;XIRECS;9985;9
316200;;;ASH_COATED_OSMIUM;XIRECS;9985;3
498400;;;ASH_COATED_OSMIUM;XIRECS;9985;4
537900;;;ASH_COATED_OSMIUM;XIRECS;9985;10
679200;;;ASH_COATED_OSMIUM;XIRECS;9985;7
976500;;;ASH_COATED_OSMIUM;XIRECS;9985;6
263500;;;ASH_COATED_OSMIUM;XIRECS;9986;3
289400;;;ASH_COATED_OSMIUM;XIRECS;9986;6
291200;;;ASH_COATED_OSMIUM;XIRECS;9986;7
